ra,dec,z,class,zWarning
175.2732,25.884975,0.866403,QSO,0
175.31474,25.395397,0.2581653,GALAXY,0
175.15663,25.527592,6.558711,QSO,5
175.07674,25.96713,0.2293961,GALAXY,0
175.30433,25.874907,0.1343747,GALAXY,0
175.15487,25.350328,0.2919011,GALAXY,0
175.33644,25.727328,0.0673428,GALAXY,0
175.08295,25.469215,0.2160414,GALAXY,0
175.07848,25.392089,0.02234494,GALAXY,0
175.17666,25.59775,0.4817416,QSO,0
175.19525,25.473273,0.2919971,GALAXY,0
175.23489,25.78092,0.02287318,GALAXY,0
175.27786,25.769966,0.3659886,QSO,0
175.11885,25.494245,0.2267684,GALAXY,0
175.68533,25.329302,0.182539,GALAXY,0
175.82765,24.706812,1.796003,QSO,0
175.63259,25.060637,0.1843241,QSO,0
175.66438,24.822522,0.02098239,GALAXY,0
175.63631,25.24288,0.4132638,GALAXY,0
175.86447,24.745777,0.1247822,GALAXY,0
175.4592,24.822069,0.1776556,GALAXY,0
175.52221,25.163995,0.2149423,GALAXY,0
175.67824,25.151426,2.076034,QSO,0
175.6593,25.151532,0.1640449,GALAXY,0
175.57619,24.759927,0.262611,GALAXY,0
175.61566,24.845274,0.1669878,GALAXY,0
175.49939,25.050741,0.2743508,GALAXY,0
175.41373,24.800504,0.0123417,GALAXY,0
175.74291,25.109514,0.1839648,GALAXY,5
175.42212,24.732595,0.1829778,GALAXY,0
175.5546,25.32422,0.1791048,GALAXY,0
175.80448,24.707018,0.1247642,GALAXY,0
175.45037,25.104082,0.2759508,GALAXY,0
175.52185,25.073701,0.1852605,GALAXY,0
175.46928,25.592758,-0.0001289772,STAR,0
175.5251,25.615237,3.05103,QSO,0
175.49277,25.738402,0.03104682,GALAXY,0
175.55119,25.57198,0.7786973,GALAXY,5
175.62611,25.507798,0.1841544,GALAXY,0
175.40037,25.887494,0.02444483,GALAXY,0
175.65948,25.438298,0.1831907,GALAXY,0
175.35939,25.764496,0.05042525,GALAXY,0
175.38005,25.85444,0.02294762,GALAXY,0
175.48083,25.625477,0.03041418,GALAXY,0
